Temperatura;Densidade;Calor espec¡fico;Condutividade t‚rmica;Viscosidade;Pr
10.0;889.14;16.936;150.64;788.67;8.867
15.0;884.01;16.906;148.67;731.61;83.197
20.0;878.83;16.938;146.73;681.04;78.617
25.0;873.6;17.017;144.82;635.94;74.723
30.0;868.32;1.713;142.94;595.5;71.361
35.0;863.0;17.268;141.09;559.05;68.421
40.0;857.65;17.424;139.27;526.05;65.817
45.0;852.26;17.594;137.47;496.05;63.486
50.0;846.84;17.772;135.7;468.67;6.138
55.0;841.38;17.956;133.95;443.59;59.461
60.0;835.89;18.143;132.23;420.54;5.77
65.0;830.37;18.331;130.54;399.29;56.073
70.0;824.81;18.521;128.9;379.64;54.548
75.0;819.22;18.709;127.27;361.42;5.313
80.0;813.59;18.898;125.67;344.48;51.803
85.0;807.93;19.085;124.09;328.7;50.555
90.0;802.22;19.271;122.52;313.95;49.379
95.0;796.47;19.457;120.99;300.14;48.268
100.0;790.68;19.642;119.47;287.17;47.215
105.0;784.83;19.827;117.97;274.98;46.215
110.0;778.93;20.012;116.49;263.49;45.264
115.0;772.98;20.197;115.03;252.64;44.358
120.0;766.96;20.384;113.59;242.37;43.494
125.0;760.87;20.572;112.17;232.64;42.669
130.0;754.72;20.763;110.76;223.4;41.879
135.0;748.49;20.957;109.37;214.61;41.123
140.0;742.17;21.154;107.99;206.24;40.399
145.0;735.77;21.355;106.63;198.24;39.704
150.0;729.27;21.562;105.28;190.6;39.037
155.0;722.66;21.774;103.94;183.29;38.395
160.0;715.95;21.993;102.62;176.27;37.779
165.0;709.11;2.222;101.3;169.53;37.186
170.0;702.15;22.455;99.996;163.05;36.614
175.0;695.04;2.27;98.7;156.81;36.065
180.0;687.78;22.957;97.412;150.78;35.535
185.0;680.36;23.227;96.132;144.96;35.025
190.0;672.75;23.511;94.858;139.33;34.533
195.0;664.95;23.813;93.589;133.87;34.061
200.0;656.93;24.134;92.326;128.57;33.607
205.0;648.68;24.478;91.068;123.41;33.171
210.0;640.17;24.848;89.812;118.39;32.755
215.0;631.37;25.251;88.561;113.49;32.359
220.0;622.25;25.692;87.312;108.7;31.985
225.0;612.76;26.179;86.066;104.01;31.636
230.0;602.87;26.724;84.823;99.394;31.314
235.0;592.51;27.341;83.585;94.852;31.027
240.0;581.62;28.053;82.353;90.363;30.781
245.0;570.09;2.889;81.132;85.908;30.591
250.0;557.82;2.99;79.927;81.466;30.476
255.0;544.63;31.158;78.754;77.01;30.469
260.0;530.31;32.795;77.633;72.502;30.627
265.0;514.49;35.052;76.614;67.89;31.061
270.0;496.64;38.439;75.793;63.095;31.999
275.0;475.75;44.246;75.404;57.978;34.021
280.0;449.61;56.942;76.078;52.246;39.104
